date,mvrv,market_cap,price,supply
2016-01-24,1.33208711,6100999519.86275212244812761025,403.446926651081,15122186.13364025
2016-01-25,1.29373682,5929274269.0379287267098653843,391.986097311514,15126236.13363995
2016-01-26,1.29079002,5918084970.45612804094037132232,391.142935125657,15130236.13363976
2016-01-27,1.3020216,5972336901.073851842867574204,394.62753037405,15134111.13363768
2016-01-28,1.25165178,5735712764.94153161962194202443,378.900995616599,15137761.13363757
2016-01-29,1.2534027,5738812666.1351646690734510214,378.99999482291,15141986.13331554
2016-01-30,1.24726247,5714271472.87784254455901684872,377.262779076564,15146661.13329498
2016-01-31,1.21190019,5550511097.35820732381149990405,366.341687609585,15151186.13329493
2016-02-01,1.23041296,5625969536.4248082656253159671,371.22343509059,15155211.13329469
2016-02-02,1.236387,5653475162.74413125016599074869,372.927631209819,15159711.13323951
2016-02-03,1.22129665,5581909720.2582054822653360565,368.098206604325,15164186.13323562
2016-02-04,1.29128531,5911470181.26804625263581931554,389.723081239042,15168386.13323537
2016-02-05,1.27387646,5832510244.83542429480264743932,384.398413983051,15173086.13321332
2016-02-06,1.24218056,5686190017.94905761086618085864,374.631555523086,15178086.13321324
2016-02-07,1.24380766,5695769151.66170053294802896311,375.153917592051,15182486.13321261
2016-02-08,1.23006764,5631255744.93652083036712251854,370.814350327294,15186186.13321241
2016-02-09,1.23955252,5673860326.918466340755239672,373.5116128609,15190586.13321208
2016-02-10,1.25743769,5760041302.2852837999816521,379.082611630625,15194686.13321104
2016-02-11,1.25239109,5739921253.41323457710325297744,377.639165108124,15199486.13319756
2016-02-12,1.26735993,5812313598.536132025810578317,382.294456458212,15203761.13319725
2016-02-13,1.29090383,5924880939.0625103454010612741,389.598432472238,15207661.13319695
2016-02-14,1.34395157,6178287275.92655857247740118775,406.150669491525,15211811.13319691
2016-02-15,1.32080872,6075100823.4099755646228711855,399.26761864699,15215611.13319645
2016-02-16,1.34439265,6194695258.16514288518272803405,407.035309468147,15219061.13319615
2016-02-17,1.36891644,6322452452.61372869001361901008,415.324113383986,15222936.13317928
2016-02-18,1.387065,6415045581.96783966512899088502,421.289662981882,15227161.13317911
2016-02-19,1.37990407,6391241912.019306844300872215,419.626528541204,15230786.13317875
2016-02-20,1.44479793,6706178212.63840963011784640444,440.195760081823,15234536.13317828
2016-02-21,1.43896168,6685078456.75430158291600111806,438.718612681473,15237736.13317822
2016-02-22,1.43388713,6668436550.15794890776160120697,437.535295094097,15240911.13317801
2016-02-23,1.37701655,6403107527.81565971961281928315,420.032592609585,15244311.13317739
