Date,Close,Volumn,Single,RSI,SMA20,SMA21,EMA12,EMA26,EMA_fast,EMA_slow,MACD,SignalLine,BB_Upper,BB_Lower,MFI,OBV,ROC,MACD_tailor,Signalline_tailor,--,OBV 趨勢反轉,DSAM 連續up/down,MACD反轉,RSI突破,EMA12 vs EMA26,BB突破,MFI反轉,OBV vs ROC,MACD vs Signal Line,--,OBV P&L per position,DSAM P&L per position,MACD P&L per position,RSI P&L per position,EMA12 vs EMA26 P/L per position,BB突破 P&L per position,MFI反轉 P&L per position,OBV vs ROC P&L per position,MACD vs Signal Line P&L per position
2024-12-07,99973.8515065982,115812632020.447,Hold+,52.131325262499594,95787.78888875854,95541.05869852274,96635.42328621315,92441.87083680533,96634.51025047559,88561.88298089468,4193.552449407813,4760.618363115568,101612.88989845723,89962.68787905986,46.59920346817405,DOWN,2.3488946402078557,746.0963253152731,1499.7883552887256,,Hold+,Sell,0,Hold+,Hold+,Hold+,Sell,0,0,,,2772.3511425208126,,,,,1092.3820504159085,,
2024-12-08,99781.82999198171,61061136199.7846,Hold+,54.47481842120328,96284.80679129007,95977.98132224535,97119.48585633139,92985.57151496655,97118.56802671922,89129.61229965568,4133.914341364842,4635.277558765423,101651.9426855252,90917.67089705495,48.05460404139791,DOWN,1.801640165454937,399.2474353231519,1314.8818579840383,,Sell,Buy,0,Hold+,Hold+,Hold+,Buy,0,0,,2328.582646877505,,,,,,,,
2024-12-09,101235.371702531,62677764785.054,Hold+,56.5414028063485,96819.8441465915,96520.54797753964,97752.69906343902,93596.6678251565,97751.73243205907,89742.16372544118,4156.031238282521,4539.428294668844,101899.1603012461,91740.52799193689,47.44416253264539,HOLD,8.849736291933908,94.16980670636985,1072.1251462018304,,0,Sell,0,Hold+,Hold+,Hold+,Sell,0,0,,,1453.541710549296,,,,,1453.541710549296,,
2024-12-10,97353.9470082088,146846843211.516,Hold+,59.2622528285832,97074.95887663278,96845.27761619232,97691.3525934036,93874.98480167889,97690.55303387089,90127.31995954922,3816.3677917247114,4394.816194080017,101678.44998746955,92471.46776579601,48.066751587009165,UP,5.897974825154765,149.71551074909803,837.2980646442094,,0,Buy,0,Hold+,Hold+,Hold+,Buy,0,0,,,,,,,,,,
2024-12-11,96649.7144677153,125835977742.511,Hold+,60.207582936833404,97196.59348520145,97054.70914287481,97531.10057406694,94080.52033249641,97530.47206239615,90457.35312166243,3450.5802415705257,4205.969003578119,101606.62394663571,92786.56302376719,45.72052169248823,DOWN,0.6965260185640896,365.0725946659077,634.261720193261,,0,Sell,0,Hold+,Hold+,Hold+,Hold+,0,0,,,-704.2325404934963,,,,,,,
2024-12-12,101123.618110336,118484957960.768,Hold+,60.925431199209015,97327.31846116701,97383.59465782689,98083.79557964679,94602.23127900304,98083.09792456929,90997.06613008931,3481.564300643746,4061.0880629912444,102045.40841931009,92609.22850302394,44.55249825057496,HOLD,5.709733459334503,601.6645857168041,499.38466572424556,,0,Buy,0,Hold+,Hold+,Hold+,Sell,0,Buy,,,,,,,,3769.671102127206,,
2024-12-13,100000.808365351,100092043319.812,Hold+,58.91467090401837,97380.98413215786,97454.62750422339,98378.72062360129,95002.12587799178,98378.04179036152,91452.65548719355,3376.594745609502,3924.189399514896,102199.06749107853,92562.90077323718,46.33089816633792,DOWN,2.614136613862952,857.9426580954314,459.12984522457657,,0,Sell,0,Hold+,Hold+,Hold+,Buy,0,Hold+,,,-1122.809744985003,,,,,,,
2024-12-14,101352.229712922,78802903278.8596,Hold+,58.157805722689915,97564.62242698246,97570.0910645752,98836.18356041986,95472.50393983847,98835.4718928513,91953.57394301542,3363.679620581388,3812.0874437281946,102700.12107705906,92429.12377690586,44.507823850674306,DOWN,5.013915460904171,952.8031038292393,488.659385012286,,0,Buy,0,Hold+,Hold+,Hold+,Sell,0,Hold+,,,,,,,,1351.4213475709985,,
2024-12-15,101367.010645533,57321924844.4153,Hold+,60.56478335069341,97732.1761828118,97745.68853262773,99225.54157351419,95909.13406618622,99224.82255301374,92429.89384016281,3316.4075073279673,3712.951456448149,103141.06521661875,92323.28714900486,44.797973152064756,DOWN,4.167333583755473,1131.954226467802,593.331783747236,,0,Sell,0,Hold+,Hold+,Hold+,Buy,0,Hold+,,,14.780932611000026,,,,,,,
2024-12-16,104721.501518089,70645074624.5286,Sell,64.51315703147671,98318.01621216463,98065.00119877739,100071.07387267954,96561.90202558643,100070.21177784231,93051.84918866587,3509.171847093108,3672.195534577141,104096.44904180203,92539.58338252723,48.50384532028857,UP,9.274835028582388,1075.3852204896975,733.5054142877115,,0,Buy,0,Hold+,Hold+,Hold+,Sell,0,Hold+,,,,,,,,3354.490872556009,,
