date,buy_frac,quote_vol,taker_buy_quote
2022-02-21,0.4913,2382027320.8617606,1170272316.2758772
2022-02-22,0.5083,2010628230.7549176,1021948126.9253064
2022-02-23,0.4927,1665486687.239937,820639942.0318317
2022-02-24,0.4993,4335107392.009488,2164376869.726107
2022-02-25,0.5284,2197889580.282669,1161436657.8296285
2022-02-26,0.4996,1152621719.69438,575852237.9808168
2022-02-27,0.4719,1780512702.886402,840141690.3293545
2022-02-28,0.522,2975160226.1689854,1553136662.0034583
2022-03-01,0.501,2701611023.6943197,1353520463.0084743
2022-03-02,0.4956,2550792948.2886243,1264172354.0456262
2022-03-03,0.4799,2192152097.925188,1051969942.2112321
2022-03-04,0.4735,2527001270.719469,1196441375.2961826
2022-03-05,0.489,1187689935.0879934,580820200.9425652
2022-03-06,0.4803,1542258009.6292188,740741244.8965172
2022-03-07,0.4945,2449362161.7015386,1211103666.7671783
2022-03-08,0.5031,2149652714.8043456,1081516303.5940902
2022-03-09,0.5131,2797240840.960747,1435303843.9873853
2022-03-10,0.4696,2854310740.8076735,1340241708.0012028
2022-03-11,0.494,2305825015.6010857,1139093538.3524642
2022-03-12,0.4939,939663387.3149893,464113572.6085631
2022-03-13,0.4623,1268441605.1866875,586406176.6009938
2022-03-14,0.5145,1821922588.4472065,937313460.6262863
2022-03-15,0.4927,1796571984.458497,885084067.9857315
2022-03-16,0.5009,3552563766.3655386,1779529342.3189175
2022-03-17,0.4997,1521083189.7108624,760015585.8029839
2022-03-18,0.493,1862337033.4847212,918115615.0464845
2022-03-19,0.4976,1216709156.4428053,605480703.8859774
2022-03-20,0.4775,1273880705.2502496,608328201.7906688
2022-03-21,0.4839,1618789548.0684214,783366152.1200151
2022-03-22,0.5081,2525975507.8012,1283334795.3252618
2022-03-23,0.4951,1725787170.5823965,854479820.5334152
2022-03-24,0.4976,2436258223.6223383,1212354441.1395836
2022-03-25,0.5095,2421153187.6604123,1233475690.3636422
2022-03-26,0.4958,1022802857.60941,507079959.2099111
